Age,Department,JobRole,MonthlyIncome,OverTime,JobSatisfaction,YearsAtCompany,MaritalStatus,Attrition_Probability,Actual_Attrition,Predicted_Attrition
21,Sales,Sales Representative,2174,Yes,2,3,Single,0.9914551430255442,1,1
25,Sales,Sales Representative,1118,Yes,4,1,Single,0.9860472441109255,1,1
19,Sales,Sales Representative,2121,Yes,2,1,Single,0.9755423923769763,1,1
40,Sales,Sales Executive,9094,Yes,2,5,Single,0.9643194509579548,1,1
26,Research & Development,Research Scientist,2042,Yes,1,3,Married,0.9564526688117924,1,1
50,Sales,Sales Representative,2683,Yes,3,3,Married,0.9295655398198613,1,1
33,Research & Development,Research Scientist,3348,Yes,1,10,Single,0.9179860193016456,1,1
31,Sales,Sales Executive,4559,Yes,3,2,Married,0.915014115759731,1,1
33,Sales,Sales Executive,8224,Yes,1,5,Single,0.9145333624813475,1,1
25,Sales,Sales Representative,4400,No,1,3,Married,0.9097490008964215,1,1
24,Sales,Sales Executive,4577,No,3,2,Single,0.9058430000847383,1,1
38,Sales,Sales Representative,2858,No,1,1,Single,0.9052290278302034,0,1
26,Sales,Sales Executive,5828,Yes,4,8,Single,0.900086750203309,1,1
42,Research & Development,Laboratory Technician,4272,No,4,1,Single,0.886789371560577,0,1
29,Sales,Sales Representative,2800,Yes,3,3,Divorced,0.8866524496720563,1,1
18,Sales,Sales Representative,1200,No,3,0,Single,0.8850296245140865,0,1
29,Research & Development,Research Scientist,2404,Yes,1,0,Single,0.8691359190530009,1,1
41,Sales,Sales Representative,3140,Yes,2,4,Single,0.8688027687967177,1,1
37,Research & Development,Laboratory Technician,2090,Yes,3,0,Single,0.8446081721179075,1,1
30,Research & Development,Laboratory Technician,2422,No,2,3,Single,0.842216262570989,1,1
47,Sales,Sales Representative,2976,No,3,0,Single,0.8389756950424111,0,1
51,Research & Development,Laboratory Technician,2838,No,3,7,Single,0.8215486912889419,0,1
29,Research & Development,Research Scientist,2389,Yes,4,4,Single,0.8205174515362454,1,1
